type,input,output,A,B,C,D,E
dentist,세균의 성장에 필요한 철 이온을 고갈시켜 영양면역 (nutritional immunity) 기능을 갖는 타액 내 단백질은?,Choice 2,스타테린(statherin),락토페린(lactoferrin),라이소자임(lysozyme),트랜스페린(transferrin),면역글로불린(immunoglobulin)
doctor,"32세 남자가 하루 수차례씩 묽은 대변을 봐서 왔다. 인도네시아 오지여행을 다녀오고 나서 2주간
지속되었다. 체중이 65 kg에서 60 kg으로 감소하였다. 점액변, 혈변은 없었다. 체온은 36.7℃
이었다. 대변 백혈구검사는 음성이었다. 다음 검사는?",Choice 1,대변기생충검사,대장내시경검사,복부컴퓨터단층촬영,혈액 펴바른표본검사,대변독소검사(stool toxin assay)
dentist,국소마취 후 발생한 개구제한에 관한 설명으로 옳은 것은?,Choice 5,냉찜질이 효과적이다.,개구제한이 심하면 회복이 빠르다.,근육손상 회복을 위하여 일주일간 개폐구운동을 제한한다.,개구제한이 가장 많이 발생하는 마취는 설신경 전달마취이다.,"근육경련으로 인한 개구제한의 원인은 근섬유의 외상, 감염, 혈종 등이다."
dentist,침샘과 침샘관의 열림부위(opening)가 바르게 연결된 것은?,Choice 2,혀샘(lingual gland) - 혀밑주름(sublingual fold),혀밑샘(sublingual gland) - 혀밑주름(sublingual fold),귀밑샘(parotid gland) - 혀밑언덕(sublingual caruncle),입천장샘(palatine gland) - 혀밑언덕(sublingual caruncle),턱밑샘(submandibular gland) - 혀밑주름(sublingual fold)
nurse,간호단위 환경관리 방법으로 옳은 것은?,Choice 3,모든 병실에 동일한 환기방법을 적용한다.,의료진의 환자 관찰에 방해가 되는 커튼은 제거한다.,병동에서 사용하는 이동장비에는 고무바퀴를 적용한다.,병실의 안정감 조성을 위하여 채도가 높은 색을 이용한다.,야간에는 환자들의 숙면을 위하여 병동 전체를 소등한다.
nurse,약물의 지속적 사용으로 감수성이 저하되어 원하는 효과를 얻기 위해 약물 용량을 늘리게 되는 현상은?,Choice 2,금단,내성,이중진단,공동의존,플래쉬백
dentist,합성 glucocorticoid를 장기간 투여받은 환자는 투여중단 후 6개월이 지나기 전까지는 수술과 같은 큰 스트레스에 대한 대처능력이 부족하다. 그 이유는?,Choice 5,피부 및 혈관이 허약한 상태이다.,췌장에서 인슐린의 분비가 저하된다.,골수에서 혈구세포생성이 감소되어 있다.,정상적인 뼈모세포 기능이 저하되어 있다.,부신에서 코티솔 분비 기능이 억제되어 있다.
doctor,전자부품 공장에서 세척업무를 수행하는 27세 남자가 입사 후 3개월 시점에 목에 덩이가 생겨 생검을 한 결과 비호지킨림프종으로 진단받아 산재요양 신청을 하였다. 역학조사 결과 벤젠을 포함한 여러 가지 발암물질에 노출된 것이 확인되었으나 업무상질병판정위원회에서는 질병과 업무의 관련성은 낮은 것으로 평가하였다. 그 이유로 타당한 것은?,Choice 5,질병의 종류,근로자의 나이,근로자의 성별,노출 유해물질의 종류,입사 후 질병 발생까지의 기간
nurse,6개월 영아의 사고 예방에 대한 부모교육 내용으로 옳은 것은?,Choice 2,"""걷기 연습할 때 손을 잡아 주세요.""","""뒤집기를 하므로 소파 위에 눕히지 마세요.""","""기어 다니면서 아무 것이나 주워 먹으므로 조심하세요.""","""머리를 가누지 못하므로 목을 다치지 않도록 조심하세요.""","""가구를 잡고 일어서므로 가구 위에 물건을 놓지 마세요."""
dentist,간의 cytochrome P450 효소를 억제하여 diazepam의 대사를 억제하는 약물은?,Choice 3,rifampin,phenytoin,cimetidine,phenobarbital,carbamazepine
